order_id,customer_id,order_date,amount,product_category
5001,1654.0,2024-04-20,396.18,home
5002,1170.0,2025-05-06,308.27,electronics
5003,1932.0,2025-02-17,365.82,home
5004,1775.0,2023-12-19,132.31,books
5005,1149.0,2024-01-08,113.04,electronics
5006,1864.0,2025-06-15,355.97,electronics
5007,1002.0,2025-03-19,66.87,toys
5008,1651.0,2025-10-09,443.95,toys
5009,1239.0,2025-10-09,93.09,toys
5010,1731.0,2025-07-30,57.06,sports
5011,1625.0,2025-07-07,420.37,clothing
5012,1176.0,2025-09-07,93.66,books
5013,1308.0,2024-01-14,7.98,books
5014,1680.0,2024-01-23,374.61,clothing
5015,1737.0,2024-10-03,82.98,sports
5016,1176.0,2025-09-10,83.6,books
5017,1347.0,2024-05-01,360.66,home
5018,1914.0,2025-03-24,59.37,sports
5019,1235.0,2024-12-07,342.24,books
5020,1102.0,2025-02-09,160.68,electronics
5021,1237.0,2025-08-26,243.21,toys
5022,1145.0,2024-09-23,190.14,clothing
5023,1018.0,2025-05-07,309.04,books
5024,1524.0,2024-02-23,26.9,toys
5025,1408.0,2025-02-21,264.7,toys
5026,1280.0,2024-03-31,201.07,home
5027,1504.0,2025-07-16,429.05,sports
5028,1354.0,2024-06-18,434.06,toys
5029,1508.0,2023-12-15,216.94,sports
5030,1567.0,2024-10-18,367.58,sports
5031,1798.0,2024-08-11,120.79,books
5032,1550.0,2024-02-01,265.8,clothing
5033,1305.0,2023-12-08,482.26,books
5034,1543.0,2025-10-31,177.64,sports
5035,1995.0,2025-06-11,183.64,toys
5036,1368.0,2024-04-09,161.97,toys
5037,1650.0,2024-02-13,92.93,sports
5038,1629.0,2024-07-22,408.82,clothing
5039,1524.0,2024-03-26,249.13,toys
5040,1493.0,2024-05-03,329.49,sports
5041,1724.0,2024-09-26,330.93,electronics
5042,1587.0,2024-03-15,407.59,toys
5043,1568.0,2023-11-15,181.66,sports
5044,1661.0,2025-03-07,83.81,sports
5045,1792.0,2025-02-01,268.39,home
5046,1595.0,2024-11-21,81.25,clothing
5047,1060.0,2025-04-13,46.06,toys
5048,1232.0,2024-08-04,367.29,books
5049,1298.0,2024-06-09,14.46,toys
5050,1133.0,2023-12-29,6.11,sports
5051,1100.0,2024-05-27,162.97,clothing
5052,1940.0,2023-12-04,448.45,home
5053,1116.0,2023-12-25,396.27,sports
5054,1488.0,2025-04-09,395.54,electronics
5055,1307.0,2024-05-06,159.03,electronics
5056,1984.0,2024-09-19,83.05,electronics
5057,1869.0,2025-09-14,497.13,toys
5058,1044.0,2024-09-07,207.22,sports
5059,1777.0,2024-06-18,451.59,clothing
5060,1908.0,2025-02-02,326.81,sports
5061,1098.0,2025-05-10,110.02,clothing
5062,1687.0,2025-02-21,124.52,clothing
5063,1014.0,2024-11-29,84.73,sports
5064,1213.0,2025-06-23,214.99,books
5065,1291.0,2025-09-07,448.92,home
5066,1055.0,2025-01-17,181.17,books
5067,1259.0,2025-04-29,429.34,books
5068,1943.0,2025-03-12,286.19,books
5069,1352.0,2023-11-30,224.47,home
5070,1217.0,2024-03-22,198.64,clothing
5071,1147.0,2024-03-01,411.59,toys
5072,1339.0,2023-12-28,289.82,home
5073,1923.0,2024-03-30,417.13,home
5074,1119.0,2025-05-05,375.71,home
5075,1663.0,2024-11-17,328.38,toys
5076,1023.0,2024-08-11,218.55,books
5077,1274.0,2025-11-05,372.0,electronics
5078,1793.0,2024-07-31,491.06,home
5079,1409.0,2025-06-02,211.81,toys
5080,1889.0,2024-11-04,182.6,electronics
5081,1445.0,2024-11-09,295.9,home
5082,1315.0,2025-05-02,340.63,clothing
5083,1418.0,2024-02-08,96.74,sports
5084,1146.0,2025-08-03,176.53,electronics
5085,1807.0,2025-10-25,204.03,clothing
5086,1612.0,2025-11-02,187.92,sports
5087,1305.0,2024-04-22,160.12,sports
5088,1561.0,2025-04-21,134.52,books
5089,1090.0,2025-05-22,155.9,sports
5090,1360.0,2024-10-27,276.1,books
5091,1739.0,2025-02-15,130.65,clothing
5092,1509.0,2025-04-15,405.57,electronics
5093,1879.0,2025-02-03,115.02,sports
5094,1425.0,2024-07-09,82.53,sports
5096,1632.0,2025-06-19,257.41,books
5097,1362.0,2024-10-09,68.52,electronics
5098,1024.0,2025-10-30,125.41,sports
5099,1928.0,2024-10-13,28.74,books
5100,1214.0,2025-04-08,378.44,sports
5101,1406.0,2024-09-27,67.1,home
5102,1539.0,2024-02-29,176.91,home
5103,1830.0,2024-09-24,436.12,sports
5104,1105.0,2024-06-26,99.97,home
5105,1139.0,2023-12-06,360.82,electronics
5106,1424.0,2025-11-03,151.61,home
5107,1175.0,2024-04-17,72.47,electronics
5108,1890.0,2024-01-12,490.96,sports
5109,1584.0,2025-04-03,55.34,toys
5110,1774.0,2025-06-07,427.62,toys
5111,1280.0,2025-09-16,412.85,clothing
5112,1161.0,2024-01-05,380.78,books
5113,1646.0,2024-03-19,482.04,books
5114,1014.0,2025-10-20,45.56,books
5115,1322.0,2025-10-17,260.4,toys
5116,1045.0,2023-12-22,488.08,clothing
5117,1402.0,2024-05-26,377.22,books
5118,1257.0,2025-06-19,342.07,books
5119,1570.0,2024-01-29,495.33,home
5120,1551.0,2023-12-24,440.65,toys
5121,1508.0,2025-01-16,227.21,electronics
5122,1305.0,2024-12-15,458.3,clothing
5123,1680.0,2025-10-19,89.72,clothing
5125,1522.0,2025-06-28,474.96,books
5126,1690.0,2024-07-01,326.45,electronics
5128,1626.0,2025-08-08,170.02,toys
5129,1506.0,2024-12-19,189.87,home
5130,1823.0,2024-01-08,399.79,home
5131,1237.0,2025-07-16,183.16,clothing
5132,1572.0,2024-11-30,342.36,home
5133,1796.0,2025-08-23,307.71,sports
5134,1028.0,2025-09-06,306.39,toys
5135,1213.0,2024-01-21,342.81,sports
5136,1258.0,2024-08-08,94.08,home
5137,1854.0,2024-05-07,332.28,home
5138,1868.0,2025-06-10,33.56,electronics
5139,2000.0,2023-12-07,215.12,electronics
5140,1280.0,2023-12-10,252.7,books
5141,1544.0,2025-06-25,7.57,sports
5142,1663.0,2024-10-21,31.29,toys
5144,1175.0,2025-03-16,111.44,home
5145,1817.0,2025-06-08,298.99,home
5146,1978.0,2025-02-27,52.62,books
5147,1632.0,2023-12-23,477.83,home
5148,1693.0,2025-08-02,494.68,books
5149,1308.0,2024-08-18,431.58,books
5150,1330.0,2024-06-14,494.44,sports
